ID,Name,AddressLine1,Town,Postcode,What3Words
Beaminster,Beaminster Freemasons Hall,Bridport Road,Beaminster,DT8 3LU,what3words address: ///rounds.solicitor.received
Blandford,Blandford Freemasons Hall,27 West Street,Blandford Forum,DT11 7AW,what3words address: ///powering.poet.buyers
Branksome,Branksome Freemasons Hall,57 Ashley Road,Poole,BH14 9BT,what3words address: ///option.strike.basket
Bridport,Bridport Freemasons Hall,124 East Street,Bridport,DT6 3LW,what3words address: ///being.flood.rejoins
Dorchester,Dorchester Freemasons Hall,Alington Street,Dorchester,DT1 1TR,what3words address: ///advice.calibrate.successes
Gillingham,Gillingham Freemasons Hall,Station Road,Gillingham,SP8 4PY,what3words address: ///haggling.folds.fled
Kinson,Kinson Freemasons Hall,Ferncroft Road,Bournemouth,BH10 6BY,what3words address: ///spray.marker.soap
Lyme Regis,Lyme Regis Freemasons Hall,Broad Street,Lyme Regis,DT7 3QE,what3words address: ///invisible.glue.tablet
Poole,Poole Freemasons Hall,4 Market Close,Poole,BH15 1NQ,what3words address: ///groups.smiled.hush
Portland,Portland Freemasons Hall,1 Victoria Square,Portland,DT5 1AL,what3words address: ///skillet.inhaler.searched
Shaftesbury,Shaftesbury Freemasons Hall,43 Bell Street,Shaftesbury,SP7 8AE,what3words address: ///options.stirs.paths
Sherborne,Sherborne Freemasons Hall,Digby Road,Sherborne,DT9 3NL,what3words address: ///adjust.rooster.messaging
Sturminster Newton,Sturminster Newton Freemasons Hall,Church Street,Sturminster Newton,DT10 1DB,what3words address: ///aside.planting.spinners
Swanage,Swanage Freemasons Hall,Marshall Row,Swanage,BH19 2AF,what3words address: ///simmer.circling.broker
Wareham,Wareham Freemasons Hall,Howards Lane,Wareham,BH20 4HU,what3words address: ///exists.smarting.blaze
Weymouth,Weymouth Freemasons Hall,School Street,Weymouth,DT4 8NH,what3words address: ///looked.humble.loses
Wimborne,Wimborne Freemasons Hall,7a Corn Market,Wimborne,BH21 1JL,what3words address: ///quicksand.rare.tools