Unit Type,Unit No,Unit Name,Warrant,Meeting Dates,Last Installation,Hall,Add No Postcode,,,,,,Last Installation:,March 14th 2026,,2nd,Saturday,March
Craft,9942,Dorset Sportsmen's Lodge,Consecrated 8th April 2017,"Tyles at 6.30 pm on the first Tuesday in June, October and December and the last Monday in February. Installation on the first Saturday in April.",April 5th 2025,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",,1st,Saturday,April,,,,,,,
Mark,99,St. Cuthberga,"Warrant dated 3rd December 1867. Transferred from Trowbridge, Wiltshire to Wimborne Minster on 27th June 1870. Centenary Warrant dated 1970. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.  ","Tyles at 6.00 pm  on the second Monday in February (Installation), April, October and November. ",February 9th 2026,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",,2nd,Monday,February,,,,,,,
Mark,121,St. Mary’s,Warrant dated 10 November 1870. Transferred from Bridport to Blandford on 27 March 1902. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.  ,"Tyles at 6.30 pm  on the last Thursday in January, March, May (Installation), September and November. ",May 29th 2025,Blandford,"Blandford Freemasons Hall, 27 West Street, Blandford Forum",,Last,Thursday,May,,,,,,,
Mark,126,All Souls,Warrant dated 19th January 1871. Centenary Warrant dated 1971. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.  ,"Tyles at 6.30 pm  on the third Tuesday in January, March (Installation), September and November.",January 20th 2026,Weymouth,"Weymouth Freemasons Hall, School Street, Weymouth",,3rd,Tuesday,January,,,,,,,
Mark,132,Amity,Warrant dated 25th April 1871. Centenary Warrant dated 4th February 1997. Keystone Lodge. Grand Patron of the Mark Benevolent Fund. ,"Tyles at 6.00 pm  on the second Thursday in February (Installation), May, September and November.",February 12th 2026,Poole,"Poole Freemasons Hall, 4 Market Close, Poole",,2nd,Thursday,February,,,,,,,
RAM,132,Amity,Warrant dated 22nd April 1919. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.00 pm  on the fourth Tuesday in January, March (Installation), June and November.",January 27th 2026,Poole,"Poole Freemasons Hall, 4 Market Close, Poole",,4th,Tuesday,January,,,,,,,
Mark,133,Portland,Warrant dated 3rd May 1871. Transferred from Dorchester to Portland on 10th March 1882. Centenary Warrant dated 1982. Keystone Lodge. Grand Patron Gold of the Mark Benevolent Fund.,"Tyles at 6.30pm and (6.00pm on night of Installation.) on the second Wednesday in January, February (Installation), March, October, November and December. ",February 11th 2026,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",,2nd,Wednesday,February,,,,,,,
RAM,133,Portland,Warrant dated 2nd May 1946. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.30 pm  on the first Wednesday in March, May, October (Installation) and December.",October 1st 2025,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",,1st,Wednesday,October,,,,,,,
Mark,134,Naval and Military ,Warrant dated 6th November 1911. Centenary Warrant dated 2011. Keystone Lodge. Grand Patron of the Mark Benevolent Fund. ,"Tyles at 6.15 pm  on the first Monday in February, April, June, October and November (Installation).",November 3rd 2025,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",,1st,Monday,November,,,,,,,
Mark,690,Victory ,Warrant dated 5th June 1919. Double Keystone Lodge. Grand Patron Gold of the Mark Benevolent Fund. ,"Tyles at 6.30 pm  on the fourth Monday in March, May, September and November (Installation).",November 24th 2025,Bridport,"Bridport Freemasons Hall, 124 East Street, Bridport",,4th,Monday,November,,,,,,,
RAM,690,Victory ,Warrant dated 1st June 1978. Consecrated 8th September 1978. Keystone Lodge. Grand Patron of the Mark Benevolent Fund. ,"Tyles at 6.30 pm  on the second Friday in March, May (Installation) and November. Tyles at 6.30pm.",March 14th 2026,Bridport,"Bridport Freemasons Hall, 124 East Street, Bridport",,2nd,Saturday,March,,,,,,,
Mark,763,Anglebury ,Warrant dated 13th April 1922. Transferred from Wareham to Swanage 1925. Centenary Warrant dated 2022. Keystone Lodge. Grand Patron of the Mark Benevolent Fund.,"Tyles at 6.00 pm  on the second Wednesday in January, March and May (Installation) and November.",May 14th 2025,Wareham,"Wareham Freemasons Hall, Howards Lane, Wareham",,2nd,Wednesday,May,,,,,,,
RAM,763,Anglebury ,Warrant and Consecration on 9th April 2003. Grand Patron of the Mark Benevolent Fund. ,"Tyles at 6.30 pm  on the second Wednesday in February and April (Installation),  June and September. ",April 9th 2025,Wareham,"Wareham Freemasons Hall, Howards Lane, Wareham",,2nd,Wednesday,April,,,,,,,
Mark,1095,St. Edward the Martyr ,Warrant dated 2nd January 1948. Consecrated 5th May 1948. Keystone Lodge. Grand Patron of the Mark Benevolent Fund. ,"Tyles at 6.30 pm  on the third Friday in January, March (Installation), May, September and November. ",March 20th 2026,Shaftesbury,"Shaftesbury Freemasons Hall, 43 Bell Street, Shaftesbury",,3rd,Friday,March,,,,,,,
RAM,1095,St. Edward the Martyr ,Warrant dated 2nd September 1954. Consecrated on 26th October 1954. Grand Patron of the Mark Benevolent Fund. ,"Tyles at 6.30 pm  on the third Friday in February, April, June and October (Installation). ",October 17th 2025,Shaftesbury,"Shaftesbury Freemasons Hall, 43 Bell Street, Shaftesbury",,3rd,Friday,October,,,,,,,
Mark,1163,Kinson,Warrant dated 16th April 1952. Consecrated 9th July 1952. Keystone Lodge. Grand Patron of the Mark Benevolent Fund. ,"Tyles at 6.00 pm  on the fourth Monday in January, March, June and October (Installation). ",October 27th 2025,Kinson,"Kinson Freemasons Hall, Ferncroft Road, Bournemouth",,4th,Monday,October,,,,,,,
Mark,1477,Branksome,Warrant dated 9th September 1976. Consecrated 31st January 1977. Keystone Lodge. Grand Patron of the Mark Benevolent Fund. ,"Tyles at 6.00 pm  on the first Monday in February (Installation), June, September and November.",February 2nd 2026,Branksome,"Branksome Freemasons Hall, 57 Ashley Road, Poole",,1st,Monday,February,,,,,,,
RAM,1477,Branksome,Warrant dated 10th June 1980. Consecrated 10th September 1980. Grand Patron of the Mark Benevolent Fund. ,"Tyles at 6.00 pm  on the fourth Thursday in February, (Installation), April and June and the third Friday in November. ",February 26th 2026,Kinson,"Kinson Freemasons Hall, Ferncroft Road, Bournemouth",,4th,Thursday,February,,,,,,,
Mark,1572,Dorset Installed Mark Masters ,Warrant dated 27th August 1981. Consecrated 7th November 1981. Grand Patron Gold of the Mark Benevolent Fund. ,"Tyles at 6.30pm on the second Wednesday in July, and at 11.00am on the first Saturday in November (Installation). ",November 1st 2025,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",,1st,Saturday,November,,,,,,,
RAM,1572,Dorset Installed Commanders ,Warrant dated 7th February 1991. Consecrated 20th April 1991. Grand Patron of the Mark Benevolent Fund.,Tyles at 11.00 am  on the third Saturday in April (Installation) and on the first Saturday in September. ,April 19th 2025,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",,3rd,Saturday,April,,,,,,,
Mark,1635,Durnovarian ,Warrant dated 15th July 1986. Consecrated 27th September 1986. Grand Patron Gold of the Mark Benevolent Fund. ,"Tyles at 6.30 pm  on the first Tuesday in March, May and October (Installation) and the fourth Tuesday in November.",October 7th 2025,Dorchester,"Dorchester Freemasons Hall, Alington Street, Dorchester",,1st,Tuesday,October,,,,,,,
RAM,1925,Dorset Mark Stewards,Warrant and Consecration dated 1st June 2011. Vice Patron of the Mark Benevolent Fund. ,Tyles at 11.00 am  on the first Wednesday in June (Installation) and the last Wednesday in November.,June 4th 2025,Blandford,"Blandford Freemasons Hall, 27 West Street, Blandford Forum",,1st,Wednesday,June,,,,,,,
Mark,2053,Brownsea Island ,Warrant and Consecration dated 19th August 2023. ,"Tyles at 6.00 am  on the third Wednesday in January, March, July (Installation) and October.",July 16th 2025,Blandford,"Blandford Freemasons Hall, 27 West Street, Blandford Forum",,3rd,Wednesday,July,,,,,,,
RA,137,Chapter of Amity,"Charter dated 26 June 1780. Centenary Warrant dated 1969, granted 
retrospectively 1975. ","Tyles at 6.00pm  on the second Monday in March, May (Installation 5.00pm), October and December.",May 12th 2025,Poole,"Poole Freemasons Hall, 4 Market Close, Poole",,2nd,Monday,May,,,,,,,
RA,170,All Souls Chapter,Charter dated 7 May 1807. Charter of Confirmation dated November 1821. Centenary Charter granted 1907. Bi-Centenary Charter granted 2007.,"Tyles at 6.00pm on the first Friday in February, March, April, October, November (Installation) and December.",November 7th 2025,Weymouth,"Weymouth Freemasons Hall, School Street, Weymouth",,1st,Friday,November,,,,,,,
RA,386,Chapter of Unity,Charter dated August 1887. ,"Tyles at 6.00 pm on the third Wednesday in January, April, July and October (Installation).",October 15th 2025,Wareham,"Wareham Freemasons Hall, Howards Lane, Wareham",,3rd,Wednesday,October,,,,,,,
RA,417,Chapter of Faith and Unanimity,Charter dated 6 May 1857. Centenary Charter granted 1957. ,"Tyles at 6.30pm on the fourth Monday of February (Installation 5.15pm), April, September, and November.",February 23rd 2026,Dorchester,"Dorchester Freemasons Hall, Alington Street, Dorchester",,4th,Monday,February,,,,,,,
RA,622,Chapter of St. Cuthberga,Charter dated 4 May 1864. Centenary Charter granted 1964. ,"Tyles at 6.00pm on the third Thursday in January, March, May, October (Installation) and November.",October 16th 2025,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",,3rd,Thursday,October,,,,,,,
RA,665,Montagu Chapter,Charter dated 4 November 1908. ,"Tyles at 6.30pm on the fourth Thursday in January, March (Installation), May, September and November.",March 26th 2026,Lyme Regis,"Lyme Regis Freemasons Hall, Broad Street, Lyme Regis",,4th,Thursday,March,,,,,,,
RA,707,St. Mary's Chapter,Charter dated 4 May 1870. ,"Tyles at 6.30pm on the first Thursday in February, April (Installation), October and December.",April 2nd 2026,Bridport,"Bridport Freemasons Hall, 124 East Street, Bridport",,1st,Thursday,April,,,,,,,
RA,1037,Portland Chapter,Charter dated 5 November 1879. Centenary Charter granted 1980. ,"Tyles at  6.15pm  on the fourth Thursday in January, February, March, April, October (Installation) and November.",October 23rd 2025,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",,4th,Thursday,October,,,,,,,
RA,1168,Chapter of Benevolence,Charter dated 1 May 1907. ,"Tyles at 6.30pm on the last Tuesday in January, March, May, October and November (Installation 6.00pm).",November 25th 2025,Sherborne,"Sherborne Freemasons Hall, Digby Road, Sherborne",,Last,Tuesday,November,,,,,,,
RA,1266,Chapter of Honour and Friendship,Charter dated 14 February 1979. Consecrated 21 April 1979. ,"Tyles at 6.00pm on the second Friday in January, fourth Friday in April (Installation), third Friday in July and first Friday in November",November 21st 2025,Blandford,"Blandford Freemasons Hall, 27 West Street, Blandford Forum",,3rd,Friday,November,,,,,,,
RA,1367,Dorset Masonic Bikers Chapter,Charter dated 25 April 2019. ,"Tyles at 6.30pm on the first Wednesday in May, the first Saturday in June (10.30am) and the first Wednesday in September. Installation June.",June 7th 2025,Beaminster,"Beaminster Freemasons Hall, Bridport Road, Beaminster",,1st,Saturday,June,,,,,,,
RA,2559,St. Aldhelm's Chapter,Charter dated 4 August 1920. ,"Tyles at 6.00pm on the third Monday in March, May, September and November (Installation 5.30pm).",November 17th 2025,Branksome,"Branksome Freemasons Hall, 57 Ashley Road, Poole",,3rd,Monday,November,,,,,,,
RA,2689,King's Court Chapter,Charter dated 2 November 1920.," Tyles at 6.15pm on the second Wednesday in February, March, April (Installation), October and November.",April 9th 2025,Gillingham,"Gillingham Freemasons Hall, Station Road, Gillingham",,2nd,Wednesday,April,,,,,,,
RA,3366,Dorset First Principals Chapter,Charter dated 1 May 1975. Consecrated 20 June 1975.,Tyles at 11.00am on the third Friday in April and October (Installation).,October 17th 2025,Dorchester,"Dorchester Freemasons Hall, Alington Street, Dorchester",,3rd,Friday,October,,,,,,,
RA,3473,United Service Chapter,Charter dated 4 August 1920. ,"Tyles at 6.15pm on the second Monday in January, March, May, September (Installation) and November.",September 8th 2025,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",,2nd,Monday,September,,,,,,,
RA,5331,Kinson Chapter,Charter dated 1 November 1950. Consecrated 30 March 1951.,"Tyles at 6.00pm at the Kinson Masonic Hall, on the fourth Friday in January, March (Installation), September and November.",March 27th 2026,Kinson,"Kinson Freemasons Hall, Ferncroft Road, Bournemouth",,4th,Friday,March,,,,,,,
RA,6445,Loyal Manor Chapter,Charter dated 25 April 1963. Consecrated 18 June 1963. ,"Tyles at 6.00pm on the first Tuesday in February, April, October (Installation), and second Tuesday in December",October 7th 2025,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",,1st,Tuesday,October,,,,,,,
RA,7986,Chapter of St. Martin,"Charter dated 4 April, 1995. Consecrated 4 April 1995. ","Tyles at 6.00pm on the second Thursday in September, and the first Thursday in December, February and May (Installation).",May 1st 2025,Wareham,"Wareham Freemasons Hall, Howards Lane, Wareham",,1st,Thursday,May,,,,,,,
RA,8099,Vespasian Chapter,Charter dated 1 May 1975. Consecrated 9 July 1975. ,"Tyles at 6.00pm on the third Thursday in February and November (Installation), the fourth Tuesday in May and the second Tuesday in September.",November 20th 2025,Branksome,"Branksome Freemasons Hall, 57 Ashley Road, Poole",,3rd,Thursday,November,,,,,,,
RA,9050,Amphibious Chapter,Charter dated 13 February 1985. Consecrated 17 April 1985. ,"Tyles at 6.00pm  on the third Wednesday of January, March (Installation), June and October.",March 18th 2026,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",,3rd,Wednesday,March,,,,,,,
RA,9177,Verwood Chapter,Charter dated 11 December 1996. Consecrated 10 April 1997. ,"Tyles at 6.00pm on the fourth Thursday in March, second Thursday in May and September (Installation), and the third Thursday in December.",September 11th 2025,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",,2nd,Thursday,September,,,,,,,
RA,9649,Chapter of Diversity,Charter dated 28 April 2016. Consecrated 27 July 2016. ,Tyles at 11.00am on the second Wednesday in March (Installation) and at various locations in the Province in July and October.,March 11th 2026,Kinson,"Kinson Freemasons Hall, Ferncroft Road, Bournemouth",,2nd,Wednesday,March,,,,,,,
